Date,Close,High,Low,Open,Volume,RSI,Stoch,EMA_20,MACD,BB_upper,BB_lower,ATR,OBV,Volume_SMA_20,Log_Returns,Target
2017-06-21,64.1904,64.5102,63.889,64.1356,19891100,50.9372,44.9585,64.1111,0.405,66.3849,62.5595,1.2006,-111335900,27960540.0,0.0051,0
2017-06-22,64.1813,64.4827,63.6789,64.4371,22965700,39.8922,44.7483,64.1178,0.3663,66.2959,62.7847,1.1432,-134301600,28379130.0,-0.0001,0
2017-06-23,65.0491,65.0856,63.8707,64.026,27617300,43.1847,66.379,64.2065,0.401,66.3237,62.9021,1.1562,-106684300,28667290.0,0.0134,0
2017-06-26,64.4279,65.5058,64.3457,65.2227,19607000,37.9977,51.7243,64.2276,0.3741,66.3201,62.9577,1.2162,-126291300,28656245.0,-0.0096,0
2017-06-27,63.2221,64.1082,63.1947,64.0443,25215100,33.2278,24.602,64.1318,0.2526,66.3771,62.7912,1.2508,-151506400,29063360.0,-0.0189,0
2017-06-28,63.7611,63.7976,62.8385,63.2221,25806200,38.837,42.2785,64.0965,0.1975,66.3787,62.7859,1.2528,-125700200,28831850.0,0.0085,0
2017-06-29,62.5644,63.4779,62.199,63.3774,28918700,40.1718,11.0497,63.9506,0.0566,66.5084,62.5091,1.1366,-154618900,29197605.0,-0.0189,0
2017-06-30,62.9664,63.3774,62.7928,62.8293,24161100,45.3856,23.2049,63.8569,-0.0224,66.4289,62.3301,1.0518,-130457800,28667145.0,0.0064,0
2017-07-03,62.2721,63.5784,62.1351,63.3318,16165500,36.3737,4.0651,63.7059,-0.1394,66.2931,62.0904,1.087,-146623300,27809580.0,-0.0111,1
2017-07-05,63.1034,63.4322,62.3178,62.3543,21176300,43.8212,28.7255,63.6485,-0.1631,65.9512,62.1182,1.0609,-125447000,27292840.0,0.0133,1
2017-07-06,62.6375,62.8293,62.2264,62.3634,21117600,43.1934,14.905,63.5523,-0.217,65.602,62.1183,1.0277,-146564600,27233630.0,-0.0074,1
2017-07-07,63.4505,63.7976,62.7563,62.7563,16878300,47.4432,39.0245,63.5426,-0.1919,65.2574,62.2356,1.0577,-129686300,26848130.0,0.0129,1
2017-07-10,63.9255,64.1721,63.213,63.4505,15014500,45.6414,53.1159,63.579,-0.1322,65.2269,62.2349,1.0649,-114671800,25139485.0,0.0075,1
2017-07-11,63.9346,64.5649,63.7154,63.9437,17460000,50.4318,53.3865,63.6129,-0.0832,65.2393,62.2417,1.0603,-97211800,23624400.0,0.0001,1
2017-07-12,64.9943,65.113,64.4462,64.5741,17750900,54.3737,84.8239,63.7445,0.0407,65.3259,62.2009,1.0981,-79460900,23249015.0,0.0164,1
2017-07-13,65.5606,65.8073,65.1404,65.314,20269800,57.0759,93.2834,63.9174,0.1825,65.5821,62.0817,1.0988,-59191100,22986970.0,0.0087,1
2017-07-14,66.4833,66.9309,65.7342,65.99,25868100,57.316,90.6667,64.1618,0.3651,66.0777,61.8491,1.1099,-33323000,22976940.0,0.014,1
2017-07-17,67.0039,67.0953,66.4284,66.5015,21803900,63.2768,98.1584,64.4325,0.5455,66.63,61.6029,1.0746,-11519100,21649880.0,0.0078,1
2017-07-18,66.9583,67.0405,66.3736,66.7664,26435300,71.8717,97.2375,64.673,0.6771,67.0354,61.4194,1.0342,-37954400,21781730.0,-0.0007,0
2017-07-19,67.4698,67.6342,67.0953,67.1409,22416200,71.7812,97.01,64.9394,0.8132,67.5595,61.2562,1.014,-15538200,21826930.0,0.0076,0
2017-07-20,67.7987,67.8717,66.94,67.7621,42361000,84.2296,98.7261,65.2117,0.9368,68.082,61.0945,0.9689,26822800,22950425.0,0.0049,0
2017-07-21,67.4059,67.8626,66.8395,67.0953,46717100,79.0672,91.879,65.4207,0.9916,68.4553,61.0436,0.9839,-19894300,24137995.0,-0.0058,0
2017-07-24,67.2323,67.3693,66.803,67.1684,21394800,84.8525,88.6731,65.5932,1.0095,68.7267,60.9905,0.9239,-41289100,23826870.0,-0.0026,0
2017-07-25,67.7712,67.8808,67.1409,67.415,22018700,84.2036,98.0615,65.8006,1.0549,69.099,60.9525,0.8939,-19270400,23947455.0,0.008,0
2017-07-26,67.6434,67.9448,67.4241,67.9083,16252200,88.5918,94.1902,65.9761,1.0683,69.3873,61.1064,0.8685,-35522600,23499310.0,-0.0019,0
2017-07-27,66.8304,67.9814,66.063,67.3785,36844200,76.0564,75.8622,66.0575,1.0018,69.5364,61.2642,0.9226,-72366800,24051210.0,-0.0121,0
2017-07-28,66.7207,66.9674,66.264,66.3828,18306700,72.836,70.4498,66.1207,0.9295,69.5577,61.6585,0.9043,-90673500,23520610.0,-0.0016,0
2017-07-31,66.4102,67.0862,66.1453,66.9583,23600100,69.2749,55.5558,66.1482,0.8375,69.5407,62.0199,0.9109,-114273600,23492560.0,-0.0047,0
2017-08-01,66.3006,67.0679,66.2183,66.7756,22132300,61.9367,40.8366,66.1627,0.7471,69.3634,62.6001,0.8874,-136405900,23790900.0,-0.0017,0
2017-08-02,66.0083,66.2823,65.2592,66.2732,26499200,54.3062,27.5171,66.148,0.6444,69.2258,63.0281,0.9037,-162905100,24057045.0,-0.0044,0
2017-08-03,65.9078,66.1727,65.6337,65.9443,18214400,43.4237,23.8248,66.1251,0.5487,68.9243,63.6567,0.8443,-181119500,23911885.0,-0.0015,0
2017-08-04,66.3919,66.7208,65.99,66.1361,22579000,42.9474,41.6106,66.1505,0.506,68.7069,64.1682,0.8548,-158540500,24196920.0,0.0073,0
2017-08-07,66.1361,66.5928,66.0082,66.5015,18705700,40.9637,32.2134,66.1492,0.4464,68.4947,64.6015,0.8489,-177246200,24381480.0,-0.0039,0
2017-08-08,66.4924,66.803,65.5424,65.853,22044600,38.8777,45.3023,66.1819,0.423,68.1869,65.165,0.8906,-155201600,24610710.0,0.0054,0
