Date,Model_Strategy,Buy_Hold,Signal
2015-07-22,12593.988156100013,10774.528,0
2015-07-23,12593.988156100013,10769.3824,0
2015-07-24,12593.988156100013,10712.6272,0
2015-07-27,12593.988156100013,10563.827200000002,0
2015-07-28,12593.988156100013,10616.2816,0
2015-07-29,12593.988156100013,10582.7584,0
2015-07-30,12593.988156100013,10529.4208,0
2015-07-31,12593.988156100013,10437.4144,0
2015-08-03,12593.988156100013,10191.423999999999,0
2015-08-04,12581.407112100014,9864.64,1
2015-08-05,12664.805112100015,9929.9968,1
2015-08-06,12679.651132100016,9951.5776,0
2015-08-07,12679.651132100016,9985.2928,0
2015-08-10,12679.651132100016,10348.1344,0
2015-08-11,12666.986764100018,9809.8816,1
2015-08-12,12862.311564100019,9961.1008,1
2015-08-13,12839.393140100017,9953.305600000002,0
2015-08-14,12839.393140100017,10023.3088,0
